start_year	studies	lower	median	upper	mean
1990	81	75.0	400.0	2000.0	27494.2
1991	110	55.0	303.0	1187.0	929230.7
1992	142	64.0	200.0	900.0	11358.3
1993	227	60.0	240.0	1000.0	4526.0
1994	263	49.0	172.0	610.0	10300.3
1995	416	40.0	120.0	600.0	28606.2
1996	542	30.0	94.0	400.0	12635.1
1997	741	35.0	96.0	355.0	15549.7
1998	1047	36.0	100.0	400.0	31017.3
1999	1356	35.0	100.0	360.0	2295.7
2000	1917	38.0	110.0	400.0	12313.3
2001	2553	40.0	105.0	365.0	4284.7
2002	3807	40.0	100.0	314.0	28755.4
2003	5348	40.0	100.0	306.0	3171.5
2004	7125	36.0	86.0	298.0	859.5
2005	8981	34.0	80.0	240.0	5485.1
2006	10897	31.0	75.0	240.0	4969.2
2007	12434	30.0	70.0	210.0	1675.2
2008	14437	30.0	65.0	200.0	1687.5
2009	15728	30.0	68.0	200.0	2106.3
2010	16948	30.0	70.0	200.0	11483.6
2011	17777	30.0	68.0	200.0	3963.9
2012	18772	30.0	69.0	200.0	3685.2
2013	19635	30.0	65.0	187.0	8126.5
2014	21868	30.0	66.0	186.0	3420.7
2015	23607	30.0	70.0	188.0	5932.6
2016	25557	30.0	68.0	188.0	2323.2
2017	27148	30.0	69.0	188.0	7134.7
2018	29265	30.0	67.0	180.0	3060.2
2019	30959	30.0	65.0	172.0	3522.0
2020	32376	34.0	80.0	202.0	3900.8
2021	37349	33.0	72.0	198.0	6595.6
2022	36597	33.0	71.0	180.0	11614.0
2023	38305	36.0	71.0	178.0	4948.8
2024	39711	37.0	73.0	180.0	3440.0
2025	39173	40.0	76.0	180.0	7335.4
2026	32429	40.0	80.0	190.0	2991.2
