era	bin_index	bin_label	bin_min	bin_max	count	pct	total_in_era
1990–1999	0	1–4	1	5	66	1.34	4925
1990–1999	1	5–9	5	10	124	2.52	4925
1990–1999	2	10–24	10	25	545	11.07	4925
1990–1999	3	25–49	25	50	837	16.99	4925
1990–1999	4	50–99	50	100	732	14.86	4925
1990–1999	5	100–249	100	250	894	18.15	4925
1990–1999	6	250–499	250	500	543	11.03	4925
1990–1999	7	500–999	500	1000	443	8.99	4925
1990–1999	8	1,000–2,499	1000	2500	346	7.03	4925
1990–1999	9	2,500–4,999	2500	5000	131	2.66	4925
1990–1999	10	5,000–9,999	5000	10000	83	1.69	4925
1990–1999	11	10,000–49,999	10000	50000	104	2.11	4925
1990–1999	12	50,000+	50000	1000000	77	1.56	4925
2000–2009	0	1–4	1	5	1353	1.63	83227
2000–2009	1	5–9	5	10	2292	2.75	83227
2000–2009	2	10–24	10	25	11724	14.09	83227
2000–2009	3	25–49	25	50	15451	18.56	83227
2000–2009	4	50–99	50	100	15636	18.79	83227
2000–2009	5	100–249	100	250	16742	20.12	83227
2000–2009	6	250–499	250	500	8561	10.29	83227
2000–2009	7	500–999	500	1000	5297	6.36	83227
2000–2009	8	1,000–2,499	1000	2500	3438	4.13	83227
2000–2009	9	2,500–4,999	2500	5000	1215	1.46	83227
2000–2009	10	5,000–9,999	5000	10000	637	0.77	83227
2000–2009	11	10,000–49,999	10000	50000	571	0.69	83227
2000–2009	12	50,000+	50000	1000000	310	0.37	83227
2010–2019	0	1–4	1	5	5024	2.17	231536
2010–2019	1	5–9	5	10	7366	3.18	231536
2010–2019	2	10–24	10	25	34824	15.04	231536
2010–2019	3	25–49	25	50	43166	18.64	231536
2010–2019	4	50–99	50	100	47357	20.45	231536
2010–2019	5	100–249	100	250	48469	20.93	231536
2010–2019	6	250–499	250	500	19490	8.42	231536
2010–2019	7	500–999	500	1000	11240	4.85	231536
2010–2019	8	1,000–2,499	1000	2500	7963	3.44	231536
2010–2019	9	2,500–4,999	2500	5000	2494	1.08	231536
2010–2019	10	5,000–9,999	5000	10000	1505	0.65	231536
2010–2019	11	10,000–49,999	10000	50000	1747	0.75	231536
2010–2019	12	50,000+	50000	1000000	891	0.38	231536
2020–2026	0	1–4	1	5	3043	1.19	255940
2020–2026	1	5–9	5	10	5002	1.95	255940
2020–2026	2	10–24	10	25	30883	12.07	255940
2020–2026	3	25–49	25	50	48667	19.02	255940
2020–2026	4	50–99	50	100	60507	23.64	255940
2020–2026	5	100–249	100	250	58001	22.66	255940
2020–2026	6	250–499	250	500	21576	8.43	255940
2020–2026	7	500–999	500	1000	12095	4.73	255940
2020–2026	8	1,000–2,499	1000	2500	8843	3.46	255940
2020–2026	9	2,500–4,999	2500	5000	2719	1.06	255940
2020–2026	10	5,000–9,999	5000	10000	1711	0.67	255940
2020–2026	11	10,000–49,999	10000	50000	1863	0.73	255940
2020–2026	12	50,000+	50000	1000000	1030	0.4	255940
