therapeutic_area	total_studies	terminated_studies	termination_rate	pct_of_all_trials
Other Conditions / Rare Diseases	200618	8887	0.0443	33.3
Oncology / Cancer	110360	10266	0.093	18.32
Cardiovascular & Vascular	52404	2823	0.0539	8.7
Infectious Diseases	36138	1980	0.0548	6.0
Metabolic & Endocrine	34510	1574	0.0456	5.73
Psychiatry & Mental Health	28898	1334	0.0462	4.8
Neurology & CNS	26148	1591	0.0608	4.34
Healthy Volunteers	20205	602	0.0298	3.35
Pain & Anesthesiology	19391	865	0.0446	3.22
Respiratory & Pulmonology	17579	973	0.0554	2.92
Gastroenterology & Hepatology	15201	1038	0.0683	2.52
Immunology & Rheumatology	14686	867	0.059	2.44
Nephrology & Urology	12940	782	0.0604	2.15
Ophthalmology	8617	469	0.0544	1.43
Dermatology	4819	244	0.0506	0.8
